fish1_x,fish1_y,fish2_x,fish2_y,fish3_x,fish3_y
1740.879,194.9431,,,,
1205.399,168.1882,,,,
1353.399,154.3887,,,,
1693.923,193.7887,,,,
2021.757,177.2679,,,,
1164.63,162.5511,,,,
1363.031,148.3916,,,,
1345.27,174.0738,,,,
1312.037,169.1339,,,,
970.3661,125.8751,,,,
1327.555,136.2081,,,,
1334.326,153.0709,,,,
2246.65,246.3432,,,,
1788.834,198.7256,,,,
1632.766,199.5333,,,,
2666.806,234.9913,,,,
1317.592,184.4207,,,,
1283.743,220.0198,,,,
1670.503,210.02,,,,
1706.664,212.9155,,,,
1111.493,132.4392,,,,
1706.77,182.592,,,,
1816.269,224.6971,,,,
1679.484,162.6017,,,,
1556.308,151.6749,,,,
1067.171,145.7056,,,,
1248.001,149.7622,,,,
1950.789,250.4393,,,,
1280.142,132.5162,,,,
1495.285,136.9981,,,,
1391.683,178.2147,,,,
1073.603,127.635,,,,
1212.822,152.2234,,,,
609.4537,96.72665,,,,
